Type,Book,FirstO,Appears,CA,Alphabetical Name,Full Name,First,Last,Common Name,Primary Name,Gender,Species,Time,Affiliation,Ajah,Dark?,Strength,Nationality,Birth Year,Description
Title,Main,TSR,N/A,N/A,Aan'allein,Aan'allein,Aan'allein,,Aan'allein,Lan Mandragoran,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Name that the Aiel used for Lan. It means ""One Man Alone"""
Primary,Main,TPoD,Yes,8,Abaldar Yulan,Abaldar Yulan,Abaldar,Yulan,Abaldar,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Seanchan,Unknown,The fiery Seanchan Captain of the Air.
Primary,Main,KoD,Yes,2,Abar,Abar,Abar,,Abar,N/A,M,Human,Current,Luca's Circus,N/A,Unassigned,N/A,Arad Doman,Unknown,A Domani sword-swallower and fire-eater with Luca’s show.
Primary,Main,LoC,Yes,2,Abdel Omerna,Abdel Omerna,Abdel,Omerna,Omerna,N/A,M,Human,Current,Whitecloak,N/A,Unassigned,N/A,Unknown,Unknown,A Whitecloak. He was supposedly the head of Pedron Niall's network of spies.
Primary,Main,TEotW,Yes,10,Abell Cauthon,Abell Cauthon,Abell,Cauthon,Abell,N/A,M,Human,Current,Farmer,N/A,Unassigned,N/A,Andor,955 NE,Mat's father. A farmer  and horse trader from Emond's Field.
Primary,Main,TFoH,Yes,2,Abelle Pendar,Abelle Pendar,Abelle,Pendar,Abelle,N/A,M,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,A lord in Andor and the High Seat of House Pendar.
Primary,Main,AMoL,Yes,2,Abors,Abors,Abors,,Abors,N/A,M,Human,Current,Asha'man,N/A,Yes,Unknown,Unknown,Unknown,An Asha’man who did not need to be Turned to follow Taim.
Primary,Main,TEotW,No,0,Ackley Farren,Ackley Farren,Ackley,Farren,Ackley,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,An Andoran man who allegedly got drunk and spent the night on the inn roof.
Primary,Main,TGS,Yes,1,Adamad,Adamad,Adamad,,Adamad,N/A,M,Human,Current,Farmhand,N/A,Unassigned,N/A,Borderlands,Unknown,One of Renald Fanwar’s farmhands.
Primary,Main,TSR,Yes,2,Adan,Adan,Adan,,Adan,N/A,M,Human,Historic,Jenn Aiel,N/A,Unassigned,N/A,Jenn Aiel,Unknown,A Jenn Aiel around the time of the Breaking.
Primary,Main,TEotW,No,0,Adan al'Caar,Adan al'Caar,Adan,al'Caar,Adan,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A Two Rivers boy whom Mat Cauthon tried to trick.
Primary,Main,TDR,Yes,1,Adden,Adden,Adden,,Adden,N/A,M,Human,Current,Darkfriend,N/A,Yes,N/A,Unknown,Unknown,"The leader of the band of Darkfriends who kidnapped Egwene, Nynaeve and Elayne."
Primary,Main,KoD,Yes,1,Adela,Adela,Adela,,Adela,N/A,F,Human,Current,Stablehand,N/A,Unassigned,N/A,Altara,Unknown,A lanky young woman with a pimply face who worked as a stablehand for Toke Fearnim in Jurador.
Primary,Main,TGH,Yes,15,Adeleas Namelle,Adeleas Namelle,Adeleas,Namelle,Adeleas,N/A,F,Human,Current,Aes Sedai,Brown,No,23(11),Unknown,735 NE,An Aes Sedai of the Brown Ajah and the rebel contingent. Sister to Vandene.
Primary,Main,TSR,Yes,12,Adelin,Adelin,Adelin,,Adelin,N/A,F,Human,Current,Maiden of the Spear,N/A,Unassigned,N/A,Aiel,Unknown,A Maiden of the Jindo sept of the Taardad Aiel who has yellow hair.
Primary,Main,ACoS,Yes,5,Adelorna Bastine,Adelorna Bastine,Adelorna,Bastine,Adelorna,N/A,F,Human,Current,Aes Sedai,Green,No,16(4),Saldaea,796 NE,A Saldaean Aes Sedai of the Green Ajah and the loyalist contingent.
Primary,Main,ToM,Yes,1,Adim,Adim,Adim,,Adim,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,Almen Bunt’s thirteen-year-old nephew. He had golden hair.
Primary,Main,TDR,No,0,Adine Canford,Adine Canford,Adine,Canford,Adine,N/A,F,Human,Current,Aes Sedai,Blue,No,34(22),Andor,905 NE,An Andoran Aes Sedai of the Blue Ajah and the rebel contingent.
Primary,Main,TSR,Yes,3,Adine Lewin,Adine Lewin,Adine,Lewin,Adine,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A Two Rivers woman who was Flann’s wife.
Primary,Main,KoD,Yes,1,Admar,Admar,Admar,,Admar,N/A,M,Human,Current,Band of the Red Hand,N/A,Unassigned,N/A,Unknown,Unknown,A soldier of the Band of the Red Hand under Captain Mandevwin.
Primary,Main,TFoH,Yes,1,Admer Nem,Admer Nem,Admer,Nem,Admer,N/A,M,Human,Current,Farmer,N/A,Unassigned,N/A,Andor,Unknown,"A stout farmer with lank hair in Kore Springs, Andor."
Primary,Main,WH,Yes,1,"Admira, Master",Master Admira,Master,Admira,Master Admira,N/A,M,Human,Current,Merchant,N/A,Unassigned,N/A,Tear,Unknown,A Tairen merchant whom Rand eavesdropped on in Far Madding.
Primary,Main,TEotW,Yes,1,Adora Aybara,Adora Aybara,Adora,Aybara,Adora,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,The young sister of Perrin Aybara.
Primary,Main,AMoL,Yes,1,"Adora, Lady",Lady Adora,Adora,,Adora,N/A,F,Human,Current,Mayor,N/A,Unassigned,N/A,Andor,Unknown,Perrin’s granddaughter in a scenario created in the battle between Rand and the Dark One.
Primary,Main,WH,Yes,2,Adria,Adria,Adria,,Adria,N/A,F,Human,Current,Luca's Circus,N/A,Unassigned,N/A,Unknown,Unknown,A slim contortionist in Valan Luca’s show.
Primary,Main,KoD,Yes,1,Adrielle,Adrielle,Adrielle,,Adrielle,N/A,F,Human,Current,Aes Sedai,Gray,No,Unknown,Unknown,Unknown,An Aes Sedai of the Gray Ajah and the loyalist contingent.
Primary,Main,TGS,Yes,1,Adrin,Adrin,Adrin,,Adrin,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Saldaea,Unknown,"A Saldaean soldier. While guarding Lord Tellaen’s manor, he was struck by a bubble of evil."
Primary,Main,ToM,No,0,Adrinne Bunt,Adrinne Bunt,Adrinne,Bunt,Adrinne,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,Almen Bunt’s dead wife.
Primary,Main,TGS,Yes,1,Adsalan,Adsalan,Adsalan,,Adsalan,N/A,M,Human,Current,Warder,N/A,Unassigned,N/A,Unknown,Unknown,A Warder to one of the ferrets sent to the White Tower.
Primary,Main,CoT,No,0,Aedelle Baryn,Aedelle Baryn,Aedelle,Baryn,Aedelle,N/A,F,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,Andoran Lord Lir Baryn’s sister.
